Name,title,abstract
"RUSKIN, Rachel",The effect of patient gynecologic history on clinician contraceptive counseling,
"ALBERTSON, Timothy E",Comparison of functional state between bilateral lung volume reduction surgery and pulmonary rehabilitation: a six-month followup study.,
"COX, Timothy",Search for excited leptons in pp collisions at s=7 TeV,
"CHERTOK, Maxwell B",Search for the Standard Model Higgs Boson Decaying to a bbÂ¯ Pair in Events with One Charged Lepton and Large Missing Transverse Energy Using the Full CDF Data Set,
"CONWAY, John S",Measurement of Polarization and Search for CP Violation in Bs0â†’Ï•Ï• Decays,
"COX, Timothy","Measurement of the Ï’ ( 1 S ) , Ï’ ( 2 S ) , and Ï’ ( 3 S ) cross sections in pp collisions at s = 7 Â  TeV",
"COX, Timothy",Angular analysis and branching fraction measurement of the decay B0â†’KâŽ0Î¼+Î¼âˆ’,
"CHERTOK, Maxwell B","Search for anomalous production of events with a photon, jet, b-quark jet, and missing transverse energy",
"CHERTOK, Maxwell B",Direct Measurement of the W Production Charge Asymmetry in ppÂ¯ Collisions at s=1.96 TeV,
"COX, Timothy",Rapidity distributions in exclusive Z+jet and Î³+jet events in pp collisions at s=7 TeV,
"COX, Timothy",The performance of the CMS muon detector in proton-proton collisions at âˆšs = 7 TeV at the LHC,
"COX, Timothy",Search for supersymmetry in hadronic final states with missing transverse energy using the variables Î±T and b-quark multiplicity in pp collisions at [Formula: see text].,"An inclusive search for supersymmetric processes that produce final states with jets and missing transverse energy is performed in pp collisions at a centre-of-mass energy of 8&nbsp;TeV. The data sample corresponds to an integrated luminosity of 11.7 fb-1 collected by the CMS experiment at the LHC. In this search, a dimensionless kinematic variable, Î±T, is used to discriminate between events with genuine and misreconstructed missing transverse energy. The search is based on an examination of the number of reconstructed jets per event, the scalar sum of transverse energies of these jets, and the number of these jets identified as originating from bottom quarks. No significant excess of events over the standard model expectation is found. Exclusion limits are set in the parameter space of simplified models, with a special emphasis on both compressed-spectrum scenarios and direct or gluino-induced production of third-generation squarks. For the case of gluino-mediated squark production, gluino masses up to 950-1125&nbsp;GeV are excluded depending on the assumed model. For the direct pair-production of squarks, masses up to 450&nbsp;GeV are excluded for a single light first- or second-generation squark, increasing to 600&nbsp;GeV for bottom squarks."
"CHERTOK, Maxwell B",Measurement of the Difference in CP-Violating Asymmetries in D0â†’K+K- and D0â†’Ï€+Ï€- Decays at CDF,
"COX, Timothy",Inclusive b-hadron production cross section with muons in pp collisions at,
"CHERTOK, Maxwell B",Measurements of branching fraction ratios and CP asymmetries in BÂ±â†’DCPKÂ± decays in hadron collisions,
"CHERTOK, Maxwell B",Search for the rare radiative decay Wâ†’Ï€Î³ in ppÂ¯ collisions at s=1.96 TeV,
"CHERTOK, Maxwell B",Precise Measurement of the W-Boson Mass with the CDF II Detector,
"CHERTOK, Maxwell B",Observation of the Îžb0 Baryon,
"CHERTOK, Maxwell B",Search for Randall-Sundrum gravitons in the diphoton channel at CDF,
"COX, Timothy",Search for fractionally charged particles in pp collisions at s=7 TeV,
"JAVIDAN, Yashar",Skeletal and pigment cell defects in the lockjaw mutant reveal multiple roles for zebrafish tfap2a in neural crest development,
"LAM, Kit",LMO4 can interact with Smad proteins and modulate transforming growth factor-Î² signaling in epithelial cells,
"SINGH, Rajiv R",Spectral Weight Contributions of Many-Particle Bound States and Continuum,
"SINGH, Rajiv R",Dynamics of the spin- Heisenberg chain at intermediate temperatures,
"SINGH, Rajiv R",Mediation of Long Range Charge Transfer by Kondo Bound States,
"DINESH-KUMAR, Savithramma P",Discovery of Stress Responsive DNA Regulatory Motifs in Arabidopsis,"The discovery of DNA regulatory motifs in the sequenced genomes using computational methods remains challenging. Here, we present MotifIndexer--a comprehensive strategy for de novo identification of DNA regulatory motifs at a genome level. Using word-counting methods, we indexed the existence of every 8-mer oligo composed of bases A, C, G, T, r, y, s, w, m, k, n or 12-mer oligo composed of A, C, G, T, n, in the promoters of all predicted genes of Arabidopsis thaliana genome and of selected stress-induced co-expressed genes. From this analysis, we identified number of over-represented motifs. Among these, major critical motifs were identified using a position filter. We used a model based on uniform distribution and the z-scores derived from this model to describe position bias. Interestingly, many motifs showed position bias towards the transcription start site. We extended this model to show biased distribution of motifs in the genomes of both A. thaliana and rice. We also used MotifIndexer to identify conserved motifs in co-expressed gene groups from two Arabidopsis species, A. thaliana and A. lyrata. This new comparative genomics method does not depend on alignments of homologous gene promoter sequences."
"WINTER, Sebastian E",The use of flow cytometry to detect expression of subunits encoded by 11 Salmonella enterica serotype Typhimurium fimbrial operons,
"KHAN, Imran",Simultaneous Detection of Antibodies to Six Nonhuman-Primate Viruses by Multiplex Microbead Immunoassay,
"SEN, Soman",Prospective comparison of packed red blood cellâ€“toâ€“fresh frozen plasma transfusion ratio of 4,
"SEN, Sabyasachi",Hierarchical Dynamics of As2P2S8 Quasi-Molecular Units in a Supercooled Liquid in the Asâˆ’Pâˆ’S System: A 31P NMR Spectroscopic Study,
"CONWAY, John S",Selection of tau leptons with the CDF Run 2 trigger system,
"LIU, Kai",Control of dissipation in superconducting films by magnetic stray fields,
"LIU, Kai",Anisotropy dependence of irreversible switching in Fe/SmCo and FeNi/FePt exchange spring magnet films,"Magnetization reversal in exchange-spring magnet films has been investigated by a first-order reversal curve (FORC) technique and vector magnetometry. In Fe/epitaxial-SmCo films, the reversal proceeds by a reversible rotation of the Fe soft layer, followed by an irreversible switching of the SmCo hard layer. The switching fields are clearly manifested by separate steps in both longitudinal and transverse hysteresis loops, as well as sharp boundaries in the FORC distribution. In FeNi/polycrystalline-FePt films, particularly with thin FeNi, the switching fields are masked by the smooth and step-free major loop. However, the FORC diagram still displays a distinct onset of irreversible switching and transverse hysteresis loops exhibit a pair of peaks, whose amplitude is larger than the maximum possible contribution from the FeNi layer alone. This suggests that the FeNi and FePt layers reverse in a continuous process via a vertical spiral. The successive versus continuous rotation of the soft/hard layer system is primarily due to the different crystal structure of the hard layer, which results in different anisotropies."
"LOUIE, Angelique Y",Rapid microwave-assisted synthesis of dextran-coated iron oxide nanoparticles for magnetic resonance imaging,
"IMAI-LEONARD, Denise M",The Early Dissemination Defect Attributed to Disruption of Decorin-Binding Proteins Is Abolished in Chronic Murine Lyme Borreliosis,
"MUNGAS, Dan M",Association of Depressed Mood and Mortality in Older Adults With and Without Cognitive Impairment in a Prospective Naturalistic Study,
"LLOYD, Kevin C",Preparation of a Monoclonal Antibody to Rat Î±â€CGRP for in Vivo Immunoneutralization of Peptides,
"MILLER, Lisa A",Lung effects of inhaled corticosteroids in a rhesus monkey model of childhood asthma,
"RICE, Robert",Gene-Specific TCDD Suppression of RARÎ±- and RXR-Mediated Induction of Tissue Transglutaminase,
"MILLER, Lisa A",Inhibition of epidermal growth factor-like growth factor secretion in tracheobronchial epithelial cells by vitamin A.,
"COX, Timothy",Search for new physics in events with same-sign dileptons and jets in pp collisions at = 8 TeV,
"ZHOU, Huaijun",Temporal proteomic analysis reveals defects in small-intestinal development of porcine fetuses with intrauterine growth restriction,
"STEWART, Susan L",Smoking acquisition among adolescents and young Latinas The role of socioenvironmental and personal factors,
"HUANG, Liping",Znt7 (Slc30a7)-deficient Mice Display Reduced Body Zinc Status and Body Fat Accumulation*,
"MEYERS, Frederick",A study of reproductive function in patients with seminoma treated with radiotherapy and orchidectomy: (SWOG-8711),"PurposeThe results of Southwest Oncology Group Study 8711 (Group 2B) are presented. The objective was to evaluate the natural history of sperm concentration and selected hormonal parameters in patients with testicular cancer treated with orchiectomy and radiotherapy.Methods and materialsOf a total of 207 patients enrolled on SWOG 8711, 53 pure seminoma patients were identified who were treated with orchiectomy and radiotherapy only. Sperm concentration, follicle-stimulating hormone (FSH) levels, and sexual satisfaction scores were the main parameters followed.ResultsA fraction of the patients were infertile prior to receiving radiotherapy. Our analysis indicates that incidental radiation dose to the remaining testicle affects time to recovery of fertility, and at an aggregate level, changes in FSH mirror changes in sperm concentration over time. This phenomenon is the same as that described in patients free from testicular cancer. These men evaluated their sexual activity as good after orchidectomy.ConclusionOur data support the use of clamshell-type testicular shields as a means of providing maximum protection to the remaining testicle."
"CHERTOK, Maxwell B",Diffractive dijet production at âˆšs = 630 and 1800 GeV at the Fermilab Tevatron,The diffractive dijet production at âˆšs = 630 and 1800 GeV at the Fermilab Tevatron was presented. The Î² and Î¾ dependence of the diffractive structure function at âˆšs = 1800 GeV and it was found that it obeyed Î²-Î¾ factorization for Î²<0.5. Results showed that the Î¾-0.9Â±0.1 dependence indicated that Pomeron-like behavior extended to moderately high Î¾ values in diffractive dijet production.
"CONWAY, John S",Transverse Momentum and Total Cross Section of e+e- Pairs in the Z-Boson Region from ppÂ¯ Collisions at s=1.8 TeV,
"CONWAY, John S",Measurement of the Top Quark Mass and ttÂ¯ Production Cross Section from Dilepton Events at the Collider Detector at Fermilab,
"CONWAY, John S",Search for a Fourth-Generation Quark More Massive than the Z0 Boson in ppÂ¯ Collisions at âˆšs=1.8 TeV,
"CHERTOK, Maxwell B",Search for New Particles Decaying to ttÂ¯ in ppÂ¯ Collisions at âˆšs=1.8 TeV,
"CONWAY, John S",Measurement of the Top Quark Mass,
"DECARLI, Charles",Molecular and imaging correlates of the fragile Xâ€“associated tremor/ataxia syndrome,
"LANZARO, Gregory","Spatial and Habitat Distribution of Anopheles gambiae and Anopheles arabiensis (Diptera: Culicidae) in Banambani Village, Mali",
"YAROV-YAROVOY, Vladimir",Functional interaction with filamin A and intracellular Ca2+ enhance the surface membrane expression of a small-conductance Ca2+-activated K+ (SK2) channel,"For an excitable cell to function properly, a precise number of ion channel proteins need to be trafficked to distinct locations on the cell surface membrane, through a network and anchoring activity of cytoskeletal proteins. Not surprisingly, mutations in anchoring proteins have profound effects on membrane excitability. Ca(2+)-activated K(+) channels (KCa2 or SK) have been shown to play critical roles in shaping the cardiac atrial action potential profile. Here, we demonstrate that filamin A, a cytoskeletal protein, augments the trafficking of SK2 channels in cardiac myocytes. The trafficking of SK2 channel is Ca(2+)-dependent. Further, the Ca(2+) dependence relies on another channel-interacting protein, Î±-actinin2, revealing a tight, yet intriguing, assembly of cytoskeletal proteins that orchestrate membrane expression of SK2 channels in cardiac myocytes. We assert that changes in SK channel trafficking would significantly alter atrial action potential and consequently atrial excitability. Identification of therapeutic targets to manipulate the subcellular localization of SK channels is likely to be clinically efficacious. The findings here may transcend the area of SK2 channel studies and may have implications not only in cardiac myocytes but in other types of excitable cells."
"WAETJEN, L Elaine E",The Effect of Ultralow-Dose Transdermal Estradiol on Urinary Incontinence in Postmenopausal Women,
"LEAL, Walter","NMR Structure of Navel Orangeworm Moth Pheromone-Binding Protein (AtraPBP1): Implications for pH-Sensitive Pheromone Detection ,",
"SHEN, Joseph J",Recurrent reciprocal 1q21.1 deletions and duplications associated with microcephaly or macrocephaly and developmental and behavioral abnormalities,
"LEBRILLA, Carlito B","Mass Spectrometric Analyses of Î²-Ketolactone Oligomers, Macrocyclic or Catenane Structures?",
"PAW U, Kyaw T",Observed increase in local cooling effect of deforestation at higher latitudes,"Deforestation in mid- to high latitudes is hypothesized to have the potential to cool the Earth's surface by altering biophysical processes. In climate models of continental-scale land clearing, the cooling is triggered by increases in surface albedo and is reinforced by a land albedo-sea ice feedback. This feedback is crucial in the model predictions; without it other biophysical processes may overwhelm the albedo effect to generate warming instead. Ongoing land-use activities, such as land management for climate mitigation, are occurring at local scales (hectares) presumably too small to generate the feedback, and it is not known whether the intrinsic biophysical mechanism on its own can change the surface temperature in a consistent manner. Nor has the effect of deforestation on climate been demonstrated over large areas from direct observations. Here we show that surface air temperature is lower in open land than in nearby forested land. The effect is 0.85 Â± 0.44 K (mean Â± one standard deviation) northwards of 45Â° N and 0.21 Â± 0.53 K southwards. Below 35Â° N there is weak evidence that deforestation leads to warming. Results are based on comparisons of temperature at forested eddy covariance towers in the USA and Canada and, as a proxy for small areas of cleared land, nearby surface weather stations. Night-time temperature changes unrelated to changes in surface albedo are an important contributor to the overall cooling effect. The observed latitudinal dependence is consistent with theoretical expectation of changes in energy loss from convection and radiation across latitudes in both the daytime and night-time phase of the diurnal cycle, the latter of which remains uncertain in climate models."
"BANNASCH, Danika",Genome-wide SNP and haplotype analyses reveal a rich history underlying dog domestication,
"FIEHN, Oliver",Global metabolite profiling of agarose degradation by Saccharophagus degradans 2-40,
"LESH, Tyler A",Remember and know judgments during recognition in chronic schizophrenia,
"ATSUMI, Shota",Non-fermentative pathways for synthesis of branched-chain higher alcohols as biofuels,
"DICKINSON, Peter J",Genome-wide association analysis identifies a mutation in the thiamine transporter 2 (SLC19A3) gene associated with Alaskan Husky encephalopathy.,"Alaskan Husky Encephalopathy (AHE) has been previously proposed as a mitochondrial encephalopathy based on neuropathological similarities with human Leigh Syndrome (LS). We studied 11 Alaskan Husky dogs with AHE, but found no abnormalities in respiratory chain enzyme activities in muscle and liver, or mutations in mitochondrial or nuclear genes that cause LS in people. A genome wide association study was performed using eight of the affected dogs and 20 related but unaffected control AHs using the Illumina canine HD array. SLC19A3 was identified as a positional candidate gene. This gene controls the uptake of thiamine in the CNS via expression of the thiamine transporter protein THTR2. Dogs have two copies of this gene located within the candidate interval (SLC19A3.2 - 43.36-43.38 Mb and SLC19A3.1 - 43.411-43.419 Mb) on chromosome 25. Expression analysis in a normal dog revealed that one of the paralogs, SLC19A3.1, was expressed in the brain and spinal cord while the other was not. Subsequent exon sequencing of SLC19A3.1 revealed a 4bp insertion and SNP in the second exon that is predicted to result in a functional protein truncation of 279 amino acids (c.624 insTTGC, c.625 C>A). All dogs with AHE were homozygous for this mutation, 15/41 healthy AH control dogs were heterozygous carriers while 26/41 normal healthy AH dogs were wild type. Furthermore, this mutation was not detected in another 187 dogs of different breeds. These results suggest that this mutation in SLC19A3.1, encoding a thiamine transporter protein, plays a critical role in the pathogenesis of AHE."
"DICKINSON, Peter J",Choroid Plexus Tumors in 56 Dogs (1985â€“2007),
"BROWN, Lisa M",Assessing the quantity of pulmonary edema in critically ill children,Measuring extravascular lung water may be useful for predicting outcome in adults with acute lung injury. The present commentary briefly reviews the potential role and limitations of extravascular lung water measurement in critically ill children.
"HAGERMAN, Randi J",Clinical involvement in daughters of men with fragile Xâ€associated tremor ataxia syndrome,
"HAGERMAN, Paul J",Expanded clinical phenotype of women with the FMR1 premutation,
"MUNGAS, Dan M",Cortical grey matter volume is reduced in patients at high-risk for vascular events.,
"AMES, James B",Crystal and solution structures of an odorant-binding protein from the southern house mosquito complexed with an oviposition pheromone,
"STAMOVA, Boryana S",Y Chromosome Gene Expression in the Blood of Male Patients With Ischemic Stroke Compared With Male Controls,
"LIU, Da Z",GABA- and acetylcholine-related gene expression in blood correlate with tic severity and microarray evidence for alternative splicing in Tourette syndrome: A pilot study,
"STAMOVA, Boryana S",GABA- and acetylcholine-related gene expression in blood correlate with tic severity and microarray evidence for alternative splicing in Tourette syndrome: A pilot study,
"ANDER, Bradley P",Src kinase inhibition decreases thrombin-induced injury and cell cycle re-entry in striatal neurons,
"BLOCK, David E",Conversion of rice straw to bio-based chemicals: an integrated process using Lactobacillus brevis,"Commercialization of lignocellulosic biomass as a feedstock for bio-based chemical production is problematic due to the high processing costs of pretreatment and saccharifying enzymes combined with low product yields. Such low product yield can be attributed, in large part, to the incomplete utilization of the various carbohydrate sugars found in the lignocellulosic biomass. In this study, we demonstrate that Lactobacillus brevis is able to simultaneously metabolize all fermentable carbohydrates in acid pre-processed rice straw hydrolysate, thereby allowing complete utilization of all released sugars. Inhibitors present in rice straw hydrolysate did not affect lactic acid production. Moreover, the activity of exogenously added cellulases was not reduced in the presence of growing cultures of L. brevis. These factors enabled the use of L. brevis in a process termed simultaneous saccharification and mixed sugar fermentation (SSMSF). In SSMSF with L. brevis, sugars present in rice straw hydrolysate were completely utilized while the cellulase maintained its maximum activity due to the lack of feedback inhibition from glucose and/or cellobiose. By comparison to a sequential hydrolysis and fermentation process, SSMSF reduced operation time and the amount of cellulase enzyme necessary to produce the same amount of lactic acid."
"MILLS, David A",Relaxed control of sugar utilization in Lactobacillus brevis,
"RECANZONE, Gregg H",Functional organization of spectral receptive fields in the primary auditory cortex of the owl monkey,
"SUTTER, Mitchell L",Modular Organization of Frequency Integration in Primary Auditory Cortex,
"CROUGHAN, Mary",Prepubertal Orchiopexy for Cryptorchidism May be Associated With Lower Risk of Testicular Cancer,
"CHEDIN, Frederic L",Arginine Methylation Facilitates the Recruitment of TOP3B to Chromatin to Prevent R Loop Accumulation,"Tudor domain-containing protein 3 (TDRD3) is a major methylarginine effector molecule that reads methyl-histone marks and facilitates gene transcription. However, the underlying mechanism by which TDRD3 functions as a transcriptional coactivator is unknown. We identified topoisomerase IIIB (TOP3B) as a component of the TDRD3 complex. TDRD3 serves as a molecular bridge between TOP3B and arginine-methylated histones. The TDRD3-TOP3B complex is recruited to the c-MYC gene promoter primarily by the H4R3me2a mark, and the complex promotes c-MYC gene expression. TOP3B relaxes negative supercoiled DNA and reduces transcription-generated R loops in vitro. TDRD3 knockdown in cells increases R loop formation at the c-MYC locus, and Tdrd3 null mice exhibit elevated R loop formation at this locus in B cells. Tdrd3 null mice show significantly increased c-Myc/Igh translocation, a process driven by R loop structures. By reducing negative supercoiling and resolving R loops, TOP3B promotes transcription, protects against DNA damage, and reduces the frequency of chromosomal translocations."
"QI, Jinyi",Depth of interaction calibration for PET detectors with dual-ended readout by PSAPDs,
"CADENASSO, Mary L","Evaluation of the National Land Cover Database for Hydrologic Applications in Urban and Suburban Baltimore, Maryland1",
"MA, Kwan-Liu",Perceptually-Based Depth-Ordering Enhancement for Direct Volume Rendering,
"FARMER, Diana L",Severe diaphragmatic hernia (DH) and fetal tracheal occlusion (TO):: Neurodevelopmental (ND) outcome at 2 years is predicted by supplemental oxygen (0<sub>2</sub>) dependency at hospital discharge (DC),
"DIAZ, Rodney C",Installation of the cryogenic dark matter search (CDMS),
"ISSEROFF, Roslyn R",Lamellar Body-Enriched Fractions from Neonatal Mice: Preparative Techniques and Partial Characterization,
"MILLER, Chris J",Enhanced In Vitro Transcytosis of Simian Immunodeficiency Virus Mediated by Vaccine-Induced Antibody Predicts Transmitted/Founder Strain Number After Rectal Challenge,"BackgroundThe time to acquisition of simian immunodeficiency virus (SIV) infection following low-dose repeated rectal challenge correlated inversely with the number of transmitted/founder strains among macaques vaccinated with ALVAC-SIV/gp120 or gp120 alone. We determined if the ability of postvaccination, prechallenge sera to enhance SIVmac251 transcytosis across epithelial cells was associated with transmitted/founder strain number.MethodsTranscytosis was carried out by exposing sera and SIVmac251 to the apical surface of human endometrial carcinoma (HEC-1A) cells at pH 6.0 and 12 hours later quantifying virus in fluid bathing the basolateral cell surface (maintained at pH 7.4). These conditions allow Fc neonatal receptor (FcRn)-dependent shuttling of virus across cells.ResultsThere was a strong correlation between the amount of virus transcytosed and number of transmitted variants (R = 0.86, P < .0001). We also found that 4 animals who remained uninfected after repeated rectal challenges had lower serum transcytosis activity than did 19 animals who subsequently became infected (P = .003). Using immunohistochemistry, we demonstrated FcRn on columnar epithelial cells facing the lumen of the macaque rectum.ConclusionsVaccine-induced antibody capable of enhancing transcytosis in vitro via FcRn may play a role in determining transmitted/founder strain number and infection outcomes following in vivo challenge."
"SANKARAN-WALTERS, Sumathi",Reactivation of HIV latency by a newly modified Ingenol derivative via protein kinase C&amp;dgr;â€“NF-&amp;kgr;B signaling,"ObjectiveAlthough HAART effectively suppresses viral replication, it fails to eradicate latent viral reservoirs. The 'shock and kill' strategy involves the activation of HIV from latent reservoirs and targeting them for eradication. Our goal was to develop new approaches for activating HIV from latent reservoirs.DesignWe investigated capacity of Ingenol B (IngB), a newly modified derivative of Ingenol ester that was originally isolated from a Brazilian plant in Amazon, for its capacity and mechanisms of HIV reactivation.MethodsReactivation of HIV-1 by IngB was evaluated in J-Lat A1 cell culture model of HIV latency as well as in purified primary CD4 T cells from long-term HAART-treated virologically-suppressed HIV-infected individuals. The underlining molecular mechanisms of viral reactivation were investigated using flow cytometry, RT-qPCR and chromatin immunoprecipitation.ResultsIngB is highly effective in reactivating HIV in J-Lat A1 cells with relatively low cellular toxicity. It is also able to reactivate latent HIV in purified CD4 T cells from HAART-treated HIV-positive individuals ex vivo. Our data show that IngB may reactivate HIV expression by both activating protein kinase C (PKC)Î´-nuclear factor kappa-light-chain-enhancer of activated B cells (NF-ÎºB) pathway and directly inducing NF-ÎºB protein expression. Importantly, IngB has a synergistic effect with JQ1, a BET bromodomain inhibitor, in latent HIV reactivation.ConclusionsIngB is a new promising compound to activate latent HIV reservoirs. Our data suggest that formulating novel derivatives from Ingenol esters may be an innovative approach to develop new lead compounds to reactivate latent HIV."
"BALES, Karen L",Intranasal vasopressin affects pair bonding and peripheral gene expression in male Callicebus cupreus,"Arginine vasopressin (AVP) is a neuropeptide hormone and neurotransmitter that has peripheral functions in water regulation, and central functions in the stress response and social bonding in male rodents. In this study, we investigated the role of AVP in partner preference behavior in a monogamous primate, the coppery titi monkey (Callicebus cupreus). Seven titi males each received three intranasal treatments: saline, low AVP (40 IU) and high AVP (80 IU) in random order, 1 week apart. They experienced a series of stimulus exposures to their female partner, a female stranger and an empty cage. Males were more likely to contact the stimulus and do so faster when either female stimulus was present. When pretreated with saline, males contacted the stranger more frequently than their partner; when pretreated with the high dosage of AVP, males contacted their partner more frequently than the stranger. We used microarray to measure peripheral changes in gene expression associated with intranasal AVP and found reduced expression of several genes coding for proinflammatory cytokines. The data presented here suggest that intranasally administered AVP has both central influences on social behavior and peripheral influences on inflammation in a nonhuman primate."
"STAMOVA, Boryana S",Gene expression in blood is associated with risperidone response in children with autism spectrum disorders,"Children with autism spectrum disorders (ASDs) often have severe behavioral problems. Not all children with these problems respond to atypical antipsychotic medications; therefore, we investigated whether peripheral blood gene expression before treatment with risperidone, an atypical antipsychotic, was associated with improvements in severe behavioral disturbances 8 weeks following risperidone treatment in 42 ASD subjects (age 112.7Â±51.2 months). Exon expression levels in blood before risperidone treatment were compared with pre-post risperidone change in Aberrant Behavior Checklist-Irritability (ABC-I) scores. Expression of exons within five genes was correlated with change in ABC-I scores across all risperidone-treated subjects: GBP6, RABL5, RNF213, NFKBID and RNF40 (Î±<0.001). RNF40 is located at 16p11.2, a region implicated in autism and schizophrenia. Thus, these genes expressed before treatment were associated with subsequent clinical response. Future studies will be needed to confirm these results and determine whether this expression profile is associated with risperidone response in other disorders, or alternative antipsychotic response within ASD."
"ZARBALIS, Konstantinos",Retinoic Acid from the Meninges Regulates Cortical Neuron Generation,
